iter	Passed	Remaining
0	95	94992
1	96	47919
2	96	32205
3	97	24384
4	98	19671
5	99	16515
6	100	14275
7	101	12588
8	102	11271
9	103	10222
10	104	9362
11	104	8639
12	105	8031
13	106	7520
14	107	7074
15	108	6684
16	109	6338
17	110	6027
18	111	5747
19	112	5502
20	113	5276
21	114	5070
22	115	4890
23	116	4719
24	116	4561
25	117	4418
26	118	4282
27	119	4155
28	120	4042
29	121	3933
30	122	3830
31	123	3737
32	124	3647
33	125	3564
34	126	3490
35	127	3414
36	128	3343
37	129	3280
38	130	3216
39	131	3154
40	132	3100
41	133	3047
42	134	2996
43	135	2946
44	136	2899
45	137	2852
46	138	2811
47	139	2770
48	140	2734
49	141	2696
50	143	2663
51	144	2629
52	145	2594
53	146	2560
54	147	2537
55	148	2507
56	149	2479
57	150	2450
58	151	2423
59	153	2400
60	154	2375
61	155	2352
62	156	2332
63	157	2309
64	159	2291
65	160	2269
66	161	2248
67	162	2224
68	163	2204
69	164	2186
70	165	2170
71	167	2152
72	168	2138
73	169	2122
74	170	2108
75	172	2093
76	173	2077
77	174	2068
78	176	2055
79	177	2045
80	179	2035
81	181	2027
82	182	2020
83	184	2009
84	185	1994
85	187	1989
86	188	1975
87	189	1966
88	191	1957
89	192	1951
90	194	1942
91	196	1936
92	197	1928
93	199	1922
94	200	1914
95	202	1907
96	204	1901
97	205	1894
98	207	1890
99	209	1883
100	210	1877
101	211	1865
102	213	1861
103	215	1858
104	217	1855
105	220	1855
106	222	1852
107	224	1850
108	226	1849
109	228	1845
110	230	1844
111	232	1841
112	234	1838
113	236	1835
114	238	1831
115	239	1825
116	241	1825
117	243	1823
118	245	1818
119	247	1818
120	249	1815
121	252	1814
122	253	1804
123	255	1804
124	257	1802
125	259	1801
126	261	1800
127	263	1793
128	265	1792
129	267	1790
130	269	1789
131	272	1791
132	274	1788
133	276	1787
134	279	1789
135	281	1789
136	283	1787
137	285	1783
138	287	1781
139	289	1781
140	291	1778
141	294	1778
142	296	1776
143	298	1773
144	300	1773
145	303	1772
146	305	1772
147	307	1770
148	309	1767
149	311	1765
150	313	1762
151	315	1759
152	317	1757
153	319	1755
154	322	1755
155	323	1752
156	325	1750
157	328	1749
158	330	1747
159	332	1745
160	334	1745
161	337	1744
162	339	1743
163	342	1743
164	344	1742
165	346	1740
166	348	1738
167	350	1738
168	353	1735
169	354	1733
170	357	1730
171	359	1728
172	361	1726
173	363	1724
174	365	1724
175	367	1722
176	370	1722
177	372	1721
178	374	1718
179	376	1716
180	378	1710
181	380	1708
182	382	1706
183	384	1704
184	386	1703
185	388	1701
186	390	1699
187	393	1699
188	395	1698
189	398	1696
190	400	1695
191	402	1694
192	405	1693
193	407	1692
194	409	1691
195	411	1689
196	414	1688
197	416	1686
198	418	1685
199	421	1684
200	423	1682
201	425	1682
202	428	1681
203	430	1680
204	433	1679
205	435	1678
206	438	1678
207	440	1677
208	443	1676
209	445	1676
210	448	1675
211	450	1673
212	452	1672
213	454	1671
214	457	1669
215	459	1669
216	462	1669
217	465	1668
218	467	1668
219	470	1667
220	473	1667
221	475	1665
222	478	1666
223	482	1670
224	485	1670
225	487	1671
226	490	1669
227	493	1669
228	495	1669
229	498	1669
230	501	1669
231	504	1670
232	507	1670
233	510	1670
234	513	1671
235	517	1674
236	520	1675
237	523	1676
238	526	1676
239	529	1676
240	532	1676
241	535	1676
242	538	1678
243	542	1679
244	545	1681
245	548	1682
246	551	1680
247	553	1679
248	556	1678
249	559	1678
250	562	1678
251	565	1677
252	569	1680
253	572	1682
254	576	1683
255	579	1682
256	582	1683
257	585	1684
258	589	1685
259	592	1685
260	595	1685
261	598	1686
262	601	1686
263	606	1690
264	611	1697
265	617	1704
266	627	1722
267	631	1725
268	635	1726
269	638	1726
270	641	1726
271	645	1727
272	649	1729
273	653	1730
274	657	1734
275	662	1738
276	667	1742
277	674	1753
278	680	1758
279	684	1760
280	690	1766
281	694	1767
282	699	1772
283	704	1776
284	708	1777
285	712	1778
286	716	1780
287	720	1781
288	724	1781
289	727	1780
290	730	1780
291	734	1780
